id,category,input,behavior,tools,expected_json,notes
TC001,simple,Nyalakan lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}}]}",
TC002,simple,Hidupkan lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}}]}",
TC003,simple,Matikan lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off""}}]}",
TC004,simple,Padamkan lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off""}}]}",
TC005,simple,Tolong nyalakan lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}}]}",
TC006,simple,Nyalakan lampu ruang tamu sekarang,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}}]}",
TC007,simple,Matikan lampu ruang tamu sekarang juga,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off""}}]}",
TC008,simple,Bisa hidupkan lampu ruang tamu?,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}}]}",
TC009,simple,Lampu kamar tolong dimatikan,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off""}}]}",
TC010,simple,Nyalain lampu ruang tamu dong,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}}]}",
TC011,simple,Turn on Lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}}]}",
TC012,simple,Turn off Lampu ruang tamu,tool_call,set_actuator_state_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off""}}]}",
